"관리번호",공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
50110-00168,제1-114호,어린이공원,제주특별자치도 제주시 아라1동 6058-6,제주특별자치도 제주시 아라1동 6058-6,33.4712493,126.5411711,4521,,,,,,,,,2017-06-26
50110-00167,제1-113호,어린이공원,제주특별자치도 제주시 아라1동 6071,제주특별자치도 제주시 아라1동 6071,33.4718579,126.5429413,1502,,,,,,,,,2017-06-26
50110-00166,제1-112호,어린이공원,제주특별자치도 제주시 아라1동 6089,제주특별자치도 제주시 아라1동 6089,33.4731645,126.5441537,2017,,,,,,,,,2017-06-26
50110-00165,제1-111호,어린이공원,제주특별자치도 제주시 아라1동 6099-9,제주특별자치도 제주시 아라1동 6099-9,33.4751423,126.5421903,2409,,,,,,,,,2017-06-26
50110-00164,제1-110호,어린이공원,제주특별자치도 제주시 아라1동 6045,제주특별자치도 제주시 아라1동 6045,33.4764131,126.5410638,8088,,,,,,,,,2017-06-26
50110-00163,제1-109호,어린이공원,제주특별자치도 제주시 도련1동 1999-6,제주특별자치도 제주시 도련1동 1999-6,33.513792,126.582688,1529,,,,,,,,,2017-06-26
50110-00162,제1-108호,어린이공원,제주특별자치도 제주시 도련1동 1989-6,제주특별자치도 제주시 도련1동 1989-6,33.515803,126.581839,1656,,,,,,,,,2017-06-26
50110-00161,제1-107호,어린이공원,제주특별자치도 제주시 도련1동 1969-4,제주특별자치도 제주시 도련1동 1969-4,33.513779,126.581582,1541,,,,,,,,,2017-06-26
50110-00160,제1-106호,어린이공원,제주특별자치도 제주시 월평동 748-1,제주특별자치도 제주시 월평동 748-1,33.454486,126.574939,4655,,,,,,,,,2017-06-26
50110-00159,제1-105호,어린이공원,제주특별자치도 제주시 이도2동 1942-2,제주특별자치도 제주시 이도2동 1942-2,33.4934862,126.5440464,2307,,,,,,,,,2017-06-26
50110-00158,제1-104호,어린이공원,제주특별자치도 제주시 이도2동 1982-10,제주특별자치도 제주시 이도2동 1982-10,33.4896969,126.5415359,1853,,,,,,,,,2017-06-26
50110-00157,제1-103호,어린이공원,제주특별자치도 제주시 이도2동 1991-1,제주특별자치도 제주시 이도2동 1991-1,33.4922604,126.5391862,2013,,,,,,,,,2017-06-26
50110-00156,제1-102호,어린이공원,제주특별자치도 제주시 이도2동 2024-1,제주특별자치도 제주시 이도2동 2024-1,33.4864399,126.5355974,1875,,,,,,,,,2017-06-26
50110-00155,제1-101호,어린이공원,제주특별자치도 제주시 이도2동 2012-1,제주특별자치도 제주시 이도2동 2012-1,33.4882966,126.536386,1503,,,,,,,,,2017-06-26
50110-00154,제1-100호,어린이공원,제주특별자치도 제주시 이도2동 2033,제주특별자치도 제주시 이도2동 2033,33.4896567,126.5338969,2810,,,,,,,,,2017-06-26
50110-00153,제1-99호,어린이공원,제주특별자치도 제주시 이도2동 2041-4,제주특별자치도 제주시 이도2동 2041-4,33.496986,126.535337,3347,,,,,,,,,2017-06-26
50110-00152,제1-98호,어린이공원,제주특별자치도 제주시 도남동 755-2,제주특별자치도 제주시 도남동 755-2,33.488596,126.526178,1617,,,,,,,,,2017-06-26
50110-00151,제1-97호,어린이공원,제주특별자치도 제주시 도남동 731-6,제주특별자치도 제주시 도남동 731-6,33.488544,126.5218196,2035,,,,,,,,,2017-06-26
50110-00150,제1-96호,어린이공원,제주특별자치도 제주시 노형동 2582-5,제주특별자치도 제주시 노형동 2582-5,33.487943,126.474443,1952,,,,,,,,,2017-06-26
50110-00149,제1-95호,어린이공원,제주특별자치도 제주시 노형동 2583-3,제주특별자치도 제주시 노형동 2583-3,33.481325,126.472335,1800,,,,,,,,,2017-06-26
50110-00148,제1-94호,어린이공원,제주특별자치도 제주시 노형동 2585-3,제주특별자치도 제주시 노형동 2585-3,33.481325,126.472335,2257,,,,,,,,,2017-06-26
50110-00147,제1-93호,어린이공원,제주특별자치도 제주시 노형동 2596-3,제주특별자치도 제주시 노형동 2596-3,33.481325,126.472335,2532,,,,,,,,,2017-06-26
50110-00146,제1-92호,어린이공원,제주특별자치도 제주시 노형동 2531-5,제주특별자치도 제주시 노형동 2531-5,33.4847697,126.473135,1691,,,,,,,,,2017-06-26
50110-00145,제1-91호,어린이공원,제주특별자치도 제주시 노형동 2517-4,제주특별자치도 제주시 노형동 2517-4,33.482242,126.4724204,1540,,,,,,,,,2017-06-26
50110-00144,제1-90호,어린이공원,제주특별자치도 제주시 노형동 2514-2,제주특별자치도 제주시 노형동 2514-2,33.483526,126.471947,2940,,,,,,,,,2017-06-26
50110-00143,제1-89호,어린이공원,제주특별자치도 제주시 노형동 2511-1,제주특별자치도 제주시 노형동 2511-1,33.484531,126.4711203,1530,,,,,,,,,2017-06-26
50110-00142,제1-88호,어린이공원,제주특별자치도 제주시 화북1동 12-3,제주특별자치도 제주시 화북1동 12-3,33.517865,126.576097,7583,,,,,,,,,2017-06-26
50110-00141,제1-87호,어린이공원,제주특별자치도 제주시 화북1동 9-2,제주특별자치도 제주시 화북1동 9-2,33.519808,126.576408,1513,,,,,,,,,2017-06-26
50110-00140,제1-86호,어린이공원,제주특별자치도 제주시 화북1동 11-8,제주특별자치도 제주시 화북1동 11-8,33.519649,126.573835,1575,,,,,,,,,2017-06-26
50110-00139,제1-85호,어린이공원,제주특별자치도 제주시 화북1동 1917-1,제주특별자치도 제주시 화북1동 1917-1,33.520005,126.569794,2182,,,,,,,,,2017-06-26
50110-00138,제1-84호,어린이공원,제주특별자치도 제주시 화북1동 1436-1,제주특별자치도 제주시 화북1동 1436-1,33.523079,126.571297,1980,,,,,,,,,2017-06-26
50110-00137,제1-83호,어린이공원,제주특별자치도 제주시 화북1동 1880-1,제주특별자치도 제주시 화북1동 1880-1,33.522234,126.568862,2380,,,,,,,,,2017-06-26
50110-00136,제1-82호,어린이공원,제주특별자치도 제주시 화북1동 2134-3,제주특별자치도 제주시 화북1동 2134-3,33.514219,126.566427,3200,,,,,,,,,2017-06-26
50110-00135,제1-81호,어린이공원,제주특별자치도 제주시 화북1동 2127,제주특별자치도 제주시 화북1동 2127,33.514578,126.560968,2750,,,,,,,,,2017-06-26
50110-00134,제1-80호,어린이공원,제주특별자치도 제주시 화북1동 1972-9,제주특별자치도 제주시 화북1동 1972-9,33.519676,126.567739,1700,,,,,,,,,2017-06-26
